ID_Chamado,Data_Abertura,Equipamento,Tipo_Falha,Prioridade,Tecnico_Responsavel,Status,Data_Conclusao,Tempo_Resolucao_Horas,Custo_Estimado_R$,Peca_Trocada,Linha_Onibus,Mes_Abertura
CH00164,2023-06-03 00:00:00,Validador VA-2000,Defeito de Software,Crítica,Pedro Oliveira,Concluída,2023-06-03 01:55:00,1.92,1170,Sim,Linha 200,2023-06
CH00165,2023-03-28 00:00:00,Catraca CT-500,Desgaste Mecânico,Crítica,Maria Santos,Pendente,,,1229,Sim,Linha 400,2023-03
CH00166,2023-04-06 00:00:00,Display Digital DD-50,Conectividade,Alta,Maria Santos,Pendente,,,658,Sim,Linha 300,2023-04
CH00167,2023-12-16 00:00:00,Validador VA-2000,Desgaste Mecânico,Alta,Maria Santos,Concluída,2023-12-16 06:08:00,6.13,599,Não,Linha 200,2023-12
CH00168,2024-06-23 00:00:00,Validador VA-3000,Falha de Leitura,Alta,João Silva,Pendente,,,559,Não,Linha 500,2024-06
CH00169,2023-07-05 00:00:00,Validador VA-3000,Defeito de Software,Crítica,Maria Santos,Concluída,2023-07-05 01:12:00,1.2,1262,Sim,Linha 400,2023-07
CH00170,2023-10-19 00:00:00,Catraca CT-500,Sensor Danificado,Média,Ana Costa,Pendente,,,364,Não,Linha 500,2023-10
CH00171,2024-03-27 00:00:00,Validador VA-3000,Desgaste Mecânico,Crítica,Maria Santos,Concluída,2024-03-27 02:28:00,2.47,1222,Sim,Linha 500,2024-03
CH00172,2023-05-22 00:00:00,Computador Bordo CB-100,Falha Elétrica,Média,Maria Santos,Pendente,,,314,Sim,Linha 400,2023-05
CH00173,2023-10-19 00:00:00,Antena GPS AG-20,Desgaste Mecânico,Baixa,Mário Inácio,Concluída,2023-10-19 13:43:00,13.72,141,Não,Linha 400,2023-10
CH00174,2024-04-06 00:00:00,Computador Bordo CB-100,Erro de Comunicação,Crítica,João Silva,Concluída,2024-04-06 01:59:00,1.98,1156,Sim,Linha 100,2024-04
CH00175,2023-03-25 00:00:00,Catraca CT-700,Defeito de Software,Alta,Maria Santos,Concluída,2023-03-25 05:11:00,5.18,607,Sim,Linha 300,2023-03
CH00176,2023-02-09 00:00:00,Validador VA-2000,Conectividade,Alta,Maria Santos,Concluída,2023-02-09 04:26:00,4.43,670,Não,Linha 400,2023-02
CH00177,2023-09-20 00:00:00,Catraca CT-700,Defeito de Software,Baixa,João Silva,Concluída,2023-09-20 22:43:00,22.72,138,Sim,Linha 500,2023-09
CH00178,2023-11-05 00:00:00,Computador Bordo CB-100,Falha Elétrica,Baixa,Pedro Oliveira,Concluída,2023-11-05 16:19:00,16.32,112,Não,Linha 400,2023-11
CH00179,2024-05-26 00:00:00,Display Digital DD-50,Conectividade,Crítica,João Silva,Concluída,2024-05-26 02:47:00,2.78,1154,Sim,Linha 500,2024-05
CH00180,2023-01-02 00:00:00,Validador VA-3000,Sensor Danificado,Média,Pedro Oliveira,Concluída,2023-01-02 16:02:00,16.03,311,Sim,Linha 400,2023-01
CH00181,2023-03-11 00:00:00,Validador VA-3000,Sensor Danificado,Baixa,Mário Inácio,Concluída,2023-03-12 19:54:00,43.9,239,Sim,Linha 500,2023-03
CH00182,2024-02-01 00:00:00,Computador Bordo CB-100,Falha de Leitura,Crítica,Ana Costa,Concluída,2024-02-01 02:05:00,2.08,1214,Sim,Linha 300,2024-02
CH00183,2023-12-07 00:00:00,Antena GPS AG-20,Falha de Leitura,Alta,Maria Santos,Concluída,2023-12-07 03:08:00,3.13,561,Não,Linha 500,2023-12
CH00184,2023-07-06 00:00:00,Catraca CT-500,Conectividade,Média,Ana Costa,Concluída,2023-07-06 08:36:00,8.6,266,Sim,Linha 100,2023-07
CH00185,2023-11-20 00:00:00,Catraca CT-500,Erro de Comunicação,Baixa,Maria Santos,Concluída,2023-11-21 05:10:00,29.17,231,Sim,Linha 500,2023-11
CH00186,2024-01-01 00:00:00,Catraca CT-700,Desgaste Mecânico,Baixa,Maria Santos,Concluída,2024-01-01 11:15:00,11.25,184,Não,Linha 100,2024-01
CH00187,2024-01-31 00:00:00,Antena GPS AG-20,Desgaste Mecânico,Crítica,Ana Costa,Concluída,2024-01-31 01:56:00,1.93,1197,Sim,Linha 400,2024-01
CH00188,2023-03-22 00:00:00,Catraca CT-500,Conectividade,Alta,João Silva,Concluída,2023-03-22 05:40:00,5.67,596,Sim,Linha 300,2023-03
CH00189,2023-11-10 00:00:00,Catraca CT-500,Falha de Leitura,Baixa,Pedro Oliveira,Concluída,2023-11-11 14:26:00,38.43,209,Não,Linha 400,2023-11
CH00190,2024-03-21 00:00:00,Catraca CT-500,Falha Elétrica,Baixa,Pedro Oliveira,Pendente,,,170,Sim,Linha 100,2024-03
CH00191,2023-06-13 00:00:00,Display Digital DD-50,Sensor Danificado,Crítica,Pedro Oliveira,Pendente,,,1157,Não,Linha 500,2023-06
CH00192,2023-03-10 00:00:00,Display Digital DD-50,Conectividade,Crítica,João Silva,Concluída,2023-03-10 01:30:00,1.5,1243,Não,Linha 400,2023-03
CH00193,2024-01-16 00:00:00,Computador Bordo CB-100,Falha de Leitura,Média,Ana Costa,Concluída,2024-01-16 19:09:00,19.15,269,Sim,Linha 200,2024-01
CH00194,2023-09-13 00:00:00,Computador Bordo CB-100,Desgaste Mecânico,Crítica,Pedro Oliveira,Concluída,2023-09-13 00:59:00,0.98,1156,Não,Linha 400,2023-09
CH00195,2024-04-01 00:00:00,Computador Bordo CB-100,Falha Elétrica,Baixa,Pedro Oliveira,Concluída,2024-04-01 22:38:00,22.63,173,Sim,Linha 200,2024-04
CH00196,2024-03-31 00:00:00,Validador VA-2000,Erro de Comunicação,Baixa,Ana Costa,Concluída,2024-03-31 13:59:00,13.98,181,Não,Linha 100,2024-03
CH00197,2023-06-28 00:00:00,Computador Bordo CB-100,Defeito de Software,Alta,Pedro Oliveira,Concluída,2023-06-28 05:05:00,5.08,680,Não,Linha 100,2023-06
CH00198,2023-01-27 00:00:00,Validador VA-3000,Conectividade,Média,Maria Santos,Concluída,2023-01-27 16:19:00,16.32,391,Sim,Linha 300,2023-01
CH00199,2023-03-09 00:00:00,Catraca CT-700,Conectividade,Média,Mário Inácio,Concluída,2023-03-09 14:33:00,14.55,351,Sim,Linha 500,2023-03
CH00200,2023-05-09 00:00:00,Catraca CT-700,Conectividade,Crítica,Mário Inácio,Concluída,2023-05-09 01:51:00,1.85,1168,Sim,Linha 400,2023-05
CH00201,2023-07-06 00:00:00,Display Digital DD-50,Defeito de Software,Alta,Maria Santos,Pendente,,,583,Sim,Linha 500,2023-07
CH00202,2023-11-08 00:00:00,Antena GPS AG-20,Falha de Leitura,Baixa,Mário Inácio,Concluída,2023-11-08 19:14:00,19.23,141,Não,Linha 200,2023-11
CH00203,2023-07-21 00:00:00,Catraca CT-500,Defeito de Software,Alta,João Silva,Concluída,2023-07-21 07:25:00,7.42,691,Não,Linha 200,2023-07
CH00204,2023-06-07 00:00:00,Display Digital DD-50,Desgaste Mecânico,Baixa,Mário Inácio,Concluída,2023-06-07 19:41:00,19.68,186,Sim,Linha 100,2023-06
CH00205,2023-09-29 00:00:00,Antena GPS AG-20,Conectividade,Baixa,João Silva,Concluída,2023-09-29 22:23:00,22.38,246,Sim,Linha 500,2023-09
CH00206,2023-11-06 00:00:00,Display Digital DD-50,Falha de Leitura,Crítica,Mário Inácio,Concluída,2023-11-06 02:33:00,2.55,1212,Sim,Linha 300,2023-11
CH00207,2024-03-01 00:00:00,Catraca CT-700,Falha de Leitura,Baixa,Maria Santos,Concluída,2024-03-02 17:03:00,41.05,218,Não,Linha 300,2024-03
CH00208,2024-02-13 00:00:00,Computador Bordo CB-100,Erro de Comunicação,Alta,Pedro Oliveira,Concluída,2024-02-13 03:06:00,3.1,644,Sim,Linha 500,2024-02
CH00209,2023-10-01 00:00:00,Validador VA-2000,Desgaste Mecânico,Média,Ana Costa,Concluída,2023-10-01 19:20:00,19.33,313,Não,Linha 100,2023-10
CH00210,2023-09-12 00:00:00,Validador VA-2000,Desgaste Mecânico,Crítica,Mário Inácio,Concluída,2023-09-12 01:10:00,1.17,1233,Sim,Linha 300,2023-09
CH00211,2024-04-23 00:00:00,Validador VA-3000,Conectividade,Média,Ana Costa,Pendente,,,377,Não,Linha 400,2024-04
CH00212,2023-09-04 00:00:00,Validador VA-2000,Falha de Leitura,Crítica,Mário Inácio,Concluída,2023-09-04 01:25:00,1.42,1299,Não,Linha 100,2023-09
CH00213,2023-10-20 00:00:00,Validador VA-2000,Desgaste Mecânico,Crítica,Mário Inácio,Concluída,2023-10-20 02:47:00,2.78,1152,Sim,Linha 400,2023-10
CH00214,2023-02-16 00:00:00,Validador VA-3000,Desgaste Mecânico,Alta,Ana Costa,Concluída,2023-02-16 05:25:00,5.42,563,Sim,Linha 500,2023-02
CH00215,2024-05-31 00:00:00,Validador VA-3000,Desgaste Mecânico,Alta,João Silva,Concluída,2024-05-31 05:50:00,5.83,690,Não,Linha 500,2024-05
CH00216,2024-02-08 00:00:00,Display Digital DD-50,Defeito de Software,Baixa,Maria Santos,Concluída,2024-02-09 09:28:00,33.47,186,Sim,Linha 300,2024-02
CH00217,2024-02-16 00:00:00,Antena GPS AG-20,Erro de Comunicação,Média,Mário Inácio,Pendente,,,378,Sim,Linha 100,2024-02
CH00218,2024-04-12 00:00:00,Validador VA-2000,Erro de Comunicação,Alta,Ana Costa,Pendente,,,588,Sim,Linha 500,2024-04
CH00219,2023-11-03 00:00:00,Validador VA-3000,Desgaste Mecânico,Alta,Maria Santos,Concluída,2023-11-03 07:03:00,7.05,636,Sim,Linha 500,2023-11
CH00220,2024-01-13 00:00:00,Computador Bordo CB-100,Falha Elétrica,Alta,Ana Costa,Concluída,2024-01-13 04:49:00,4.82,578,Sim,Linha 500,2024-01
CH00221,2023-09-29 00:00:00,Catraca CT-500,Conectividade,Baixa,Mário Inácio,Concluída,2023-09-30 23:29:00,47.48,247,Não,Linha 100,2023-09
CH00222,2024-01-25 00:00:00,Computador Bordo CB-100,Falha Elétrica,Média,Mário Inácio,Pendente,,,287,Não,Linha 100,2024-01
CH00223,2024-03-27 00:00:00,Computador Bordo CB-100,Sensor Danificado,Baixa,Maria Santos,Concluída,2024-03-28 05:24:00,29.4,207,Não,Linha 400,2024-03
CH00224,2024-04-27 00:00:00,Display Digital DD-50,Erro de Comunicação,Crítica,Mário Inácio,Pendente,,,1165,Não,Linha 500,2024-04
CH00225,2024-01-21 00:00:00,Validador VA-3000,Defeito de Software,Alta,Ana Costa,Pendente,,,630,Não,Linha 400,2024-01
CH00226,2024-05-10 00:00:00,Computador Bordo CB-100,Desgaste Mecânico,Alta,Pedro Oliveira,Pendente,,,599,Não,Linha 300,2024-05
CH00227,2023-08-01 00:00:00,Computador Bordo CB-100,Desgaste Mecânico,Média,Pedro Oliveira,Concluída,2023-08-01 20:41:00,20.68,331,Sim,Linha 300,2023-08
CH00228,2024-01-24 00:00:00,Computador Bordo CB-100,Conectividade,Alta,Pedro Oliveira,Concluída,2024-01-24 05:22:00,5.37,638,Não,Linha 300,2024-01
CH00229,2023-09-20 00:00:00,Validador VA-2000,Desgaste Mecânico,Baixa,Pedro Oliveira,Concluída,2023-09-21 16:42:00,40.7,154,Não,Linha 500,2023-09
CH00230,2023-09-03 00:00:00,Catraca CT-500,Defeito de Software,Alta,Maria Santos,Concluída,2023-09-03 04:04:00,4.07,562,Sim,Linha 200,2023-09
CH00231,2023-12-05 00:00:00,Display Digital DD-50,Erro de Comunicação,Baixa,João Silva,Concluída,2023-12-06 16:14:00,40.23,125,Não,Linha 100,2023-12
CH00232,2023-07-24 00:00:00,Computador Bordo CB-100,Erro de Comunicação,Crítica,Ana Costa,Concluída,2023-07-24 01:43:00,1.72,1232,Não,Linha 100,2023-07
CH00233,2023-06-29 00:00:00,Antena GPS AG-20,Falha de Leitura,Média,Mário Inácio,Concluída,2023-06-29 18:15:00,18.25,295,Sim,Linha 400,2023-06
CH00234,2023-01-10 00:00:00,Antena GPS AG-20,Falha Elétrica,Média,Pedro Oliveira,Concluída,2023-01-10 14:11:00,14.18,395,Sim,Linha 100,2023-01
CH00235,2024-05-20 00:00:00,Catraca CT-500,Desgaste Mecânico,Crítica,Mário Inácio,Pendente,,,1184,Sim,Linha 400,2024-05
CH00236,2024-04-14 00:00:00,Catraca CT-500,Erro de Comunicação,Baixa,Pedro Oliveira,Concluída,2024-04-15 01:33:00,25.55,147,Sim,Linha 300,2024-04
CH00237,2024-02-20 00:00:00,Antena GPS AG-20,Desgaste Mecânico,Média,Maria Santos,Pendente,,,359,Sim,Linha 300,2024-02
CH00238,2024-05-03 00:00:00,Validador VA-2000,Falha Elétrica,Baixa,Maria Santos,Concluída,2024-05-04 06:05:00,30.08,163,Sim,Linha 300,2024-05
CH00239,2023-11-06 00:00:00,Catraca CT-700,Erro de Comunicação,Crítica,Pedro Oliveira,Concluída,2023-11-06 02:59:00,2.98,1296,Sim,Linha 300,2023-11
CH00240,2024-04-21 00:00:00,Display Digital DD-50,Desgaste Mecânico,Média,João Silva,Concluída,2024-04-21 14:28:00,14.47,290,Sim,Linha 500,2024-04
CH00241,2024-01-12 00:00:00,Display Digital DD-50,Conectividade,Alta,João Silva,Concluída,2024-01-12 07:14:00,7.23,606,Não,Linha 200,2024-01
CH00242,2024-03-01 00:00:00,Catraca CT-700,Erro de Comunicação,Crítica,Mário Inácio,Concluída,2024-03-01 02:50:00,2.83,1270,Sim,Linha 200,2024-03
CH00243,2024-06-24 00:00:00,Antena GPS AG-20,Erro de Comunicação,Baixa,Mário Inácio,Concluída,2024-06-25 08:41:00,32.68,119,Sim,Linha 100,2024-06
CH00244,2023-06-03 00:00:00,Validador VA-2000,Conectividade,Média,Mário Inácio,Pendente,,,292,Não,Linha 500,2023-06
CH00245,2023-04-04 00:00:00,Catraca CT-700,Falha de Leitura,Média,Mário Inácio,Concluída,2023-04-04 21:25:00,21.42,364,Sim,Linha 400,2023-04
CH00246,2023-03-01 00:00:00,Validador VA-3000,Defeito de Software,Crítica,Ana Costa,Pendente,,,1293,Sim,Linha 300,2023-03
CH00247,2023-08-12 00:00:00,Display Digital DD-50,Falha de Leitura,Crítica,Pedro Oliveira,Concluída,2023-08-12 02:58:00,2.97,1168,Sim,Linha 400,2023-08
CH00248,2023-03-12 00:00:00,Catraca CT-500,Sensor Danificado,Baixa,Mário Inácio,Concluída,2023-03-13 16:13:00,40.22,108,Não,Linha 400,2023-03
CH00249,2024-01-27 00:00:00,Validador VA-3000,Conectividade,Média,Ana Costa,Concluída,2024-01-27 19:18:00,19.3,346,Sim,Linha 100,2024-01
CH00250,2023-07-02 00:00:00,Display Digital DD-50,Sensor Danificado,Média,Pedro Oliveira,Concluída,2023-07-02 22:20:00,22.33,350,Sim,Linha 200,2023-07
CH00251,2024-04-19 00:00:00,Display Digital DD-50,Erro de Comunicação,Baixa,João Silva,Concluída,2024-04-20 21:10:00,45.17,208,Sim,Linha 400,2024-04
CH00252,2023-06-08 00:00:00,Antena GPS AG-20,Erro de Comunicação,Média,Ana Costa,Concluída,2023-06-08 13:24:00,13.4,298,Sim,Linha 100,2023-06
CH00253,2023-09-04 00:00:00,Antena GPS AG-20,Sensor Danificado,Crítica,Mário Inácio,Concluída,2023-09-04 01:22:00,1.37,1167,Sim,Linha 500,2023-09
CH00254,2024-02-16 00:00:00,Validador VA-2000,Falha Elétrica,Baixa,Maria Santos,Concluída,2024-02-17 13:57:00,37.95,159,Sim,Linha 200,2024-02
CH00255,2023-10-24 00:00:00,Antena GPS AG-20,Conectividade,Baixa,Maria Santos,Pendente,,,159,Sim,Linha 300,2023-10
CH00256,2023-05-27 00:00:00,Computador Bordo CB-100,Defeito de Software,Alta,Maria Santos,Concluída,2023-05-27 07:38:00,7.63,683,Não,Linha 400,2023-05
CH00257,2023-06-29 00:00:00,Catraca CT-500,Desgaste Mecânico,Baixa,Mário Inácio,Pendente,,,209,Sim,Linha 400,2023-06
CH00258,2024-03-02 00:00:00,Validador VA-2000,Desgaste Mecânico,Crítica,Mário Inácio,Concluída,2024-03-02 02:14:00,2.23,1188,Não,Linha 400,2024-03
CH00259,2023-11-04 00:00:00,Validador VA-3000,Conectividade,Crítica,Maria Santos,Concluída,2023-11-04 01:06:00,1.1,1268,Sim,Linha 500,2023-11
CH00260,2023-09-19 00:00:00,Catraca CT-700,Falha Elétrica,Média,Ana Costa,Concluída,2023-09-19 10:56:00,10.93,334,Sim,Linha 400,2023-09
CH00261,2023-02-22 00:00:00,Antena GPS AG-20,Desgaste Mecânico,Baixa,Mário Inácio,Concluída,2023-02-23 02:19:00,26.32,196,Sim,Linha 500,2023-02
CH00262,2023-08-11 00:00:00,Validador VA-2000,Conectividade,Baixa,Maria Santos,Pendente,,,222,Não,Linha 300,2023-08
CH00263,2024-05-05 00:00:00,Catraca CT-500,Falha de Leitura,Média,Maria Santos,Concluída,2024-05-05 12:16:00,12.27,302,Sim,Linha 200,2024-05
CH00264,2024-06-30 00:00:00,Computador Bordo CB-100,Desgaste Mecânico,Alta,Ana Costa,Concluída,2024-06-30 07:32:00,7.53,641,Não,Linha 300,2024-06
CH00265,2024-04-25 00:00:00,Catraca CT-500,Defeito de Software,Crítica,Ana Costa,Concluída,2024-04-25 01:51:00,1.85,1202,Não,Linha 300,2024-04
CH00266,2023-09-25 00:00:00,Catraca CT-700,Falha de Leitura,Média,Maria Santos,Concluída,2023-09-25 22:53:00,22.88,399,Sim,Linha 400,2023-09
CH00267,2024-01-24 00:00:00,Catraca CT-500,Erro de Comunicação,Média,Pedro Oliveira,Concluída,2024-01-24 23:26:00,23.43,312,Sim,Linha 500,2024-01
CH00268,2024-05-17 00:00:00,Display Digital DD-50,Sensor Danificado,Alta,Pedro Oliveira,Concluída,2024-05-17 05:55:00,5.92,593,Não,Linha 200,2024-05
CH00269,2023-03-02 00:00:00,Validador VA-3000,Sensor Danificado,Crítica,Maria Santos,Pendente,,,1284,Sim,Linha 100,2023-03
CH00270,2023-05-21 00:00:00,Antena GPS AG-20,Sensor Danificado,Baixa,João Silva,Concluída,2023-05-21 23:47:00,23.78,117,Não,Linha 100,2023-05
CH00271,2024-05-09 00:00:00,Validador VA-3000,Defeito de Software,Crítica,Pedro Oliveira,Concluída,2024-05-09 02:34:00,2.57,1154,Sim,Linha 500,2024-05
CH00272,2023-10-09 00:00:00,Computador Bordo CB-100,Falha Elétrica,Baixa,João Silva,Pendente,,,237,Não,Linha 100,2023-10
CH00273,2023-04-09 00:00:00,Computador Bordo CB-100,Conectividade,Crítica,Maria Santos,Concluída,2023-04-09 02:44:00,2.73,1188,Não,Linha 200,2023-04
CH00274,2024-02-11 00:00:00,Computador Bordo CB-100,Defeito de Software,Alta,Pedro Oliveira,Concluída,2024-02-11 02:40:00,2.67,645,Sim,Linha 400,2024-02
CH00275,2023-02-02 00:00:00,Computador Bordo CB-100,Erro de Comunicação,Média,Pedro Oliveira,Concluída,2023-02-02 07:11:00,7.18,353,Sim,Linha 400,2023-02
CH00276,2023-03-26 00:00:00,Computador Bordo CB-100,Falha Elétrica,Baixa,João Silva,Concluída,2023-03-27 18:07:00,42.12,211,Não,Linha 500,2023-03
CH00277,2024-05-01 00:00:00,Antena GPS AG-20,Falha de Leitura,Baixa,Maria Santos,Concluída,2024-05-02 02:30:00,26.5,111,Sim,Linha 300,2024-05
CH00278,2023-01-17 00:00:00,Computador Bordo CB-100,Defeito de Software,Baixa,Maria Santos,Concluída,2023-01-17 22:08:00,22.13,250,Não,Linha 400,2023-01
CH00279,2024-02-03 00:00:00,Validador VA-2000,Desgaste Mecânico,Média,Mário Inácio,Concluída,2024-02-03 22:27:00,22.45,334,Sim,Linha 200,2024-02
CH00280,2023-02-24 00:00:00,Antena GPS AG-20,Sensor Danificado,Baixa,Mário Inácio,Concluída,2023-02-24 14:40:00,14.67,211,Não,Linha 100,2023-02
CH00281,2023-10-07 00:00:00,Catraca CT-500,Defeito de Software,Crítica,Pedro Oliveira,Concluída,2023-10-07 02:25:00,2.42,1275,Não,Linha 300,2023-10
CH00282,2024-01-25 00:00:00,Computador Bordo CB-100,Falha Elétrica,Crítica,Maria Santos,Pendente,,,1171,Sim,Linha 300,2024-01
CH00283,2023-06-07 00:00:00,Antena GPS AG-20,Erro de Comunicação,Baixa,João Silva,Concluída,2023-06-08 09:56:00,33.93,139,Sim,Linha 300,2023-06
CH00284,2024-03-31 00:00:00,Catraca CT-500,Falha de Leitura,Baixa,João Silva,Concluída,2024-04-01 08:34:00,32.57,169,Sim,Linha 200,2024-03
CH00285,2024-06-08 00:00:00,Validador VA-2000,Erro de Comunicação,Crítica,Ana Costa,Pendente,,,1254,Sim,Linha 100,2024-06
CH00286,2023-11-29 00:00:00,Validador VA-2000,Desgaste Mecânico,Baixa,Mário Inácio,Pendente,,,198,Sim,Linha 300,2023-11
CH00287,2024-06-17 00:00:00,Catraca CT-700,Falha Elétrica,Baixa,Mário Inácio,Concluída,2024-06-17 19:34:00,19.57,197,Não,Linha 200,2024-06
CH00288,2023-03-06 00:00:00,Catraca CT-500,Desgaste Mecânico,Alta,Ana Costa,Concluída,2023-03-06 03:25:00,3.42,661,Não,Linha 400,2023-03
CH00289,2023-09-10 00:00:00,Catraca CT-500,Falha Elétrica,Baixa,Pedro Oliveira,Concluída,2023-09-11 17:50:00,41.83,150,Sim,Linha 100,2023-09
CH00290,2024-01-25 00:00:00,Validador VA-3000,Desgaste Mecânico,Baixa,Ana Costa,Concluída,2024-01-26 06:29:00,30.48,212,Não,Linha 400,2024-01
CH00291,2023-07-25 00:00:00,Antena GPS AG-20,Conectividade,Média,Pedro Oliveira,Concluída,2023-07-25 20:21:00,20.35,330,Não,Linha 400,2023-07
CH00292,2023-11-30 00:00:00,Catraca CT-500,Desgaste Mecânico,Crítica,Mário Inácio,Concluída,2023-11-30 02:06:00,2.1,1221,Sim,Linha 300,2023-11
CH00293,2023-07-04 00:00:00,Validador VA-2000,Defeito de Software,Média,Mário Inácio,Pendente,,,390,Sim,Linha 400,2023-07
CH00294,2024-02-23 00:00:00,Display Digital DD-50,Erro de Comunicação,Crítica,Pedro Oliveira,Concluída,2024-02-23 02:37:00,2.62,1185,Não,Linha 200,2024-02
CH00295,2023-03-17 00:00:00,Catraca CT-500,Sensor Danificado,Média,Ana Costa,Concluída,2023-03-17 19:19:00,19.32,372,Sim,Linha 400,2023-03
CH00296,2024-01-04 00:00:00,Computador Bordo CB-100,Defeito de Software,Crítica,Mário Inácio,Concluída,2024-01-04 02:47:00,2.78,1171,Sim,Linha 200,2024-01
CH00297,2023-02-15 00:00:00,Display Digital DD-50,Sensor Danificado,Alta,Maria Santos,Pendente,,,694,Sim,Linha 300,2023-02
CH00298,2023-09-22 00:00:00,Antena GPS AG-20,Falha Elétrica,Baixa,João Silva,Concluída,2023-09-22 23:09:00,23.15,230,Sim,Linha 500,2023-09
CH00299,2024-02-05 00:00:00,Computador Bordo CB-100,Sensor Danificado,Média,Ana Costa,Concluída,2024-02-05 19:48:00,19.8,400,Sim,Linha 200,2024-02
CH00300,2024-03-01 00:00:00,Catraca CT-500,Falha de Leitura,Crítica,João Silva,Concluída,2024-03-01 00:51:00,0.85,1179,Não,Linha 300,2024-03
CH00301,2024-05-09 00:00:00,Catraca CT-500,Desgaste Mecânico,Crítica,Maria Santos,Pendente,,,1239,Sim,Linha 100,2024-05
CH00302,2023-11-04 00:00:00,Catraca CT-700,Sensor Danificado,Crítica,Pedro Oliveira,Concluída,2023-11-04 00:41:00,0.68,1179,Sim,Linha 300,2023-11
CH00303,2023-06-28 00:00:00,Display Digital DD-50,Falha de Leitura,Média,Maria Santos,Pendente,,,391,Não,Linha 300,2023-06
CH00304,2023-07-08 00:00:00,Computador Bordo CB-100,Falha Elétrica,Crítica,Maria Santos,Concluída,2023-07-08 01:17:00,1.28,1260,Sim,Linha 100,2023-07
CH00305,2024-03-15 00:00:00,Display Digital DD-50,Defeito de Software,Média,Ana Costa,Pendente,,,349,Sim,Linha 200,2024-03
CH00306,2023-07-11 00:00:00,Validador VA-3000,Desgaste Mecânico,Baixa,Mário Inácio,Concluída,2023-07-12 08:58:00,32.97,183,Não,Linha 400,2023-07
CH00307,2024-02-02 00:00:00,Validador VA-2000,Desgaste Mecânico,Crítica,Mário Inácio,Concluída,2024-02-02 02:10:00,2.17,1300,Sim,Linha 300,2024-02
CH00308,2023-11-01 00:00:00,Catraca CT-500,Conectividade,Crítica,Mário Inácio,Concluída,2023-11-01 00:51:00,0.85,1184,Não,Linha 100,2023-11
CH00309,2023-05-25 00:00:00,Validador VA-3000,Desgaste Mecânico,Baixa,Maria Santos,Concluída,2023-05-26 18:52:00,42.87,199,Sim,Linha 500,2023-05
CH00310,2024-05-13 00:00:00,Validador VA-3000,Defeito de Software,Crítica,Ana Costa,Concluída,2024-05-13 02:47:00,2.78,1194,Sim,Linha 200,2024-05
CH00311,2024-04-06 00:00:00,Catraca CT-700,Desgaste Mecânico,Média,Maria Santos,Concluída,2024-04-06 05:49:00,5.82,341,Sim,Linha 400,2024-04
CH00312,2024-05-21 00:00:00,Validador VA-3000,Erro de Comunicação,Crítica,Mário Inácio,Pendente,,,1254,Sim,Linha 400,2024-05
CH00313,2023-03-26 00:00:00,Display Digital DD-50,Conectividade,Crítica,Ana Costa,Concluída,2023-03-26 02:54:00,2.9,1157,Não,Linha 300,2023-03
CH00314,2023-06-22 00:00:00,Validador VA-2000,Desgaste Mecânico,Média,Mário Inácio,Concluída,2023-06-22 19:36:00,19.6,394,Sim,Linha 500,2023-06
CH00315,2024-01-11 00:00:00,Computador Bordo CB-100,Falha de Leitura,Baixa,Pedro Oliveira,Pendente,,,238,Sim,Linha 400,2024-01
CH00316,2023-11-01 00:00:00,Computador Bordo CB-100,Erro de Comunicação,Crítica,João Silva,Concluída,2023-11-01 00:38:00,0.63,1265,Não,Linha 300,2023-11
CH00317,2023-08-31 00:00:00,Antena GPS AG-20,Conectividade,Baixa,Ana Costa,Concluída,2023-08-31 22:19:00,22.32,250,Não,Linha 500,2023-08
CH00318,2023-07-31 00:00:00,Display Digital DD-50,Falha Elétrica,Média,Mário Inácio,Concluída,2023-07-31 11:03:00,11.05,265,Sim,Linha 300,2023-07
CH00319,2023-10-24 00:00:00,Computador Bordo CB-100,Desgaste Mecânico,Média,Pedro Oliveira,Concluída,2023-10-24 23:32:00,23.53,318,Sim,Linha 100,2023-10
CH00320,2023-05-10 00:00:00,Validador VA-3000,Conectividade,Crítica,João Silva,Concluída,2023-05-10 01:03:00,1.05,1213,Não,Linha 300,2023-05
CH00321,2023-10-03 00:00:00,Antena GPS AG-20,Erro de Comunicação,Crítica,Ana Costa,Concluída,2023-10-03 02:16:00,2.27,1246,Sim,Linha 100,2023-10
CH00322,2023-10-12 00:00:00,Display Digital DD-50,Conectividade,Baixa,Ana Costa,Pendente,,,194,Sim,Linha 400,2023-10
CH00323,2024-01-02 00:00:00,Catraca CT-500,Defeito de Software,Baixa,João Silva,Concluída,2024-01-02 12:19:00,12.32,236,Sim,Linha 200,2024-01
CH00324,2023-11-27 00:00:00,Catraca CT-700,Conectividade,Média,Ana Costa,Concluída,2023-11-27 13:40:00,13.67,336,Sim,Linha 500,2023-11
CH00325,2023-02-17 00:00:00,Validador VA-3000,Defeito de Software,Crítica,Pedro Oliveira,Concluída,2023-02-17 00:55:00,0.92,1267,Sim,Linha 100,2023-02
CH00326,2024-03-14 00:00:00,Antena GPS AG-20,Erro de Comunicação,Crítica,Ana Costa,Concluída,2024-03-14 01:21:00,1.35,1183,Não,Linha 200,2024-03
CH00327,2023-03-26 00:00:00,Antena GPS AG-20,Desgaste Mecânico,Baixa,Pedro Oliveira,Concluída,2023-03-27 09:23:00,33.38,142,Sim,Linha 400,2023-03
